0,2;3;1;-87;467;75;10;10
4,7;8;1;18;559;-1;-57;0
1,9;1;3;52;122;-23;-86;0
4,6;0;2;31;550;97;47;230
3,4;1;2;-5;941;40;24;0
3,3;6;3;-19;583;5;-5;0
0,4;1;4;-7;645;7;-70;0
8,3;1;2;25;864;99;44;230
2,9;8;0;84;879;63;11;0
7,1;8;1;30;774;18;-75;0
5,5;9;0;16;847;19;71;0
8,4;5;4;82;393;16;-18;0
9,8;0;2;-86;677;80;2;0
7,3;6;4;46;679;84;-92;0
3,2;6;0;76;938;-95;-33;0
1,9;2;0;-98;342;72;-44;0
3,4;2;2;-12;157;-72;-10;0
7,6;8;4;-83;659;22;45;0
3,2;3;0;-70;642;63;64;0
9,1;8;0;0;512;-85;2;0
8,5;4;1;-40;-58;-55;57;0
3,6;2;3;-5;754;18;-24;0
7,3;1;4;-50;354;21;12;0
8,3;9;4;45;-48;-8;75;10
4,5;5;3;35;-29;88;-15;0
4;5;3;30;322;88;82;0
1,4;2;1;79;146;-13;91;0
6,1;1;2;-72;416;90;-65;0
4,9;3;3;98;744;81;-97;0
7;0;3;42;617;90;80;0
6,3;1;4;-95;633;29;-34;0
7,4;6;2;64;-73;83;39;10
3,3;2;3;19;988;-51;68;0
2,1;8;0;23;-65;78;82;0
2,2;6;0;14;430;-89;-13;0
0;7;0;60;231;69;96;300
6,6;2;0;48;993;-36;49;0
8;9;2;32;675;-89;-26;0
3;6;1;27;733;-16;-16;0
0,3;4;3;8;846;-49;3;0
4,5;4;4;37;344;72;-36;0
6,1;0;4;-93;524;-68;9;0
7;7;0;55;995;-87;-17;0
1;9;1;8;366;12;40;10
8,4;3;4;-74;-26;-55;24;0
4,4;5;2;-40;117;-91;-31;0
5,7;3;3;-63;182;74;37;0
7,1;6;0;72;106;-80;-34;0
5,8;6;4;95;229;24;-30;0
7,4;9;2;-1;930;84;53;230
1,6;5;1;59;-77;-86;-48;0
5,7;4;1;-67;657;-97;6;0
6,9;8;1;75;40;-42;-75;0
8,6;6;3;79;368;98;72;0
4;2;0;-37;945;84;65;0
0,5;7;4;-67;-71;-87;10;0
2,3;6;3;22;565;64;-98;0
1;1;4;61;594;27;-91;0
8,7;6;4;19;-10;-20;-41;0
1,4;2;3;47;4;41;-68;0
0,4;5;1;-80;146;15;29;0
0,5;0;2;64;84;70;25;230
1,3;1;2;-37;208;55;-39;0
1,2;9;4;88;633;-50;-66;0
4,3;9;3;2;29;70;-82;260
6,4;6;3;-19;-31;-20;-88;0
5,9;3;2;82;505;34;64;0
0,3;1;0;62;918;71;-99;300
5,4;4;1;11;254;-6;83;0
1,6;8;4;-90;-100;6;25;0
5,5;7;0;-57;317;-52;-2;0
6,2;4;3;-77;537;-30;6;0
7,6;5;4;-62;994;-83;-22;0
1,9;4;4;48;921;-71;-81;0
5,3;5;2;10;57;-62;-14;0
3,4;1;2;9;572;3;-4;0
9,6;6;4;48;29;-24;83;0
2,4;0;2;-99;389;-54;-21;0
3,3;1;2;-10;7;-22;-29;0
9,4;0;3;-13;76;-80;-82;0
4,2;4;4;-24;525;81;-17;0
8,5;0;2;62;738;-64;-54;0
4,4;1;0;39;956;-94;-43;0
9,5;8;1;2;37;-75;-97;0
5,1;2;3;91;211;65;-97;0
6,5;4;3;75;256;96;64;0
1,6;0;3;-33;130;-76;-5;0
9,7;5;4;-60;-23;60;0;0
5,2;6;4;-12;761;-20;-7;0
7,9;9;4;-5;292;-58;-33;0
6,4;4;0;27;-47;-7;56;0
8,5;5;3;83;-99;7;59;0
6,6;7;2;-58;-76;3;7;0
7,8;7;4;8;538;-29;-74;0
0,9;9;2;70;901;-72;-26;0
0,9;6;2;-96;272;43;-33;0
1,2;0;1;56;852;33;33;300
1,7;3;0;-34;668;60;-75;0
6,7;3;0;-7;21;30;71;0
6,5;1;0;-82;333;-15;52;0
0,5;9;3;36;778;-60;14;0
6,8;5;2;42;655;-8;32;0
5,2;4;2;-58;276;-51;84;0
3,7;4;3;-55;-31;-5;-16;0
9;0;3;-6;165;81;-6;0
4,8;3;3;79;560;10;-77;0
7,3;5;4;-16;113;-61;96;0
7,2;6;2;-90;98;68;-75;0
4,4;0;1;47;693;-70;36;0
5,1;8;1;-11;508;-63;56;0
1,3;7;4;48;663;61;-93;0
9,1;8;2;73;210;-13;28;0
4,3;1;0;-88;-27;-31;-65;0
2,6;5;4;75;341;-14;-91;0
6,7;5;1;28;-89;-61;-57;0
8,4;6;4;-3;-61;-83;18;0
2,5;8;1;-13;684;-93;4;0
6,7;1;4;-3;822;20;-85;0
2,8;8;1;-42;308;98;72;0
2,4;1;2;-46;162;-15;-53;0
5,4;2;2;-94;187;17;19;0
6,8;5;0;37;333;4;-98;0
4,1;4;0;-66;554;-73;-99;0
8,2;6;0;32;1;46;10;0
7,1;8;2;-6;573;-44;-98;0
8,4;4;3;15;-80;-5;-75;0
2,3;0;0;95;418;69;19;10
6,6;3;1;28;217;-55;64;0
6,6;2;1;-67;838;-92;44;0
